Date,Type,Minutes,Seconds
2021-11-13,3x3 Cube,1,40
2021-11-13,3x3 Cube,1,52
2021-11-13,3x3 Cube,1,48
2021-11-13,3x3 Cube,2,12
2021-11-13,3x3 Cube,2,31
2021-11-13,3x3 Cube,2,16
2021-11-13,3x3 Cube,1,50
2021-11-13,3x3 Cube,2,45
2021-11-13,3x3 Cube,2,2
2021-11-13,3x3 Cube,2,12
2021-11-13,3x3 Cube,2,12
2021-11-13,3x3 Cube,2,19
2021-11-13,3x3 Cube,1,53
2021-11-13,3x3 Cube,1,40
2021-11-13,3x3 Cube,2,53
2021-11-13,3x3 Cube,2,11
2021-11-13,3x3 Cube,1,29
2021-11-13,3x3 Cube,1,52
2021-11-13,3x3 Cube,2,20
2021-11-13,3x3 Cube,1,53
2021-11-13,3x3 Cube,1,56
2021-11-13,3x3 Cube,1,47
2021-11-13,3x3 Cube,2,16
2021-11-13,3x3 Cube,2,31
2021-11-13,3x3 Cube,1,59
2021-11-13,3x3 Cube,2,14
2021-11-13,3x3 Cube,1,46
2021-11-13,3x3 Cube,2,5
2021-11-13,3x3 Cube,2,14
2021-11-13,3x3 Cube,1,48
2021-11-13,3x3 Cube,2,14
2021-11-13,3x3 Cube,2,8
2021-11-15,3x3 Cube,1,23
2021-11-15,3x3 Cube,1,41
2021-11-15,3x3 Cube,1,43
2021-11-15,3x3 Cube,1,19
2021-11-15,3x3 Cube,1,37
2021-11-15,3x3 Cube,1,28
2021-11-15,3x3 Cube,1,37
2021-11-15,3x3 Cube,1,31
2021-11-15,3x3 Cube,1,35
2021-11-15,3x3 Cube,1,38
2021-11-15,3x3 Cube,1,38
2021-11-15,3x3 Cube,1,55
2021-11-15,3x3 Cube,1,27
2021-11-15,3x3 Cube,1,39
2021-11-15,3x3 Cube,1,47
2021-11-15,3x3 Cube,1,54
2021-11-15,3x3 Cube,2,11
2021-11-15,3x3 Cube,1,18
2021-11-15,3x3 Cube,1,44
2021-11-15,3x3 Cube,1,25
2021-11-15,3x3 Cube,1,45
2021-11-15,3x3 Cube,1,37
2021-11-15,3x3 Cube,1,49
2021-11-15,3x3 Cube,1,45
2021-11-15,3x3 Cube,1,28
2021-11-15,3x3 Cube,2,26
2021-11-17,3x3 Cube,1,51
2021-11-17,3x3 Cube,1,32
2021-11-17,3x3 Cube,1,51
2021-11-17,3x3 Cube,1,38
2021-11-17,3x3 Cube,1,25
2021-11-17,3x3 Cube,1,36
2021-11-17,3x3 Cube,2,6
2021-11-17,3x3 Cube,1,49
2021-11-17,3x3 Cube,1,42
2021-11-17,3x3 Cube,1,39
2021-11-17,3x3 Cube,1,8
2021-11-17,3x3 Cube,1,23
2021-11-17,3x3 Cube,1,10
2021-11-22,3x3 Cube,1,38
2021-11-22,3x3 Cube,1,17
2021-11-22,3x3 Cube,1,23
2021-11-22,3x3 Cube,1,38
2021-11-22,3x3 Cube,1,9
2021-11-22,3x3 Cube,1,15
2021-11-22,3x3 Cube,1,13
2021-11-22,3x3 Cube,2,0
2021-11-22,3x3 Cube,1,54
2021-11-22,3x3 Cube,1,5
2021-11-22,3x3 Cube,1,34
2021-11-30,3x3 Cube,1,26
2021-11-30,3x3 Cube,0,58
2021-11-30,3x3 Cube,0,57
2021-11-30,3x3 Cube,1,16
2021-11-30,3x3 Cube,1,17
2021-11-30,3x3 Cube,0,56
2021-11-30,3x3 Cube,0,55
2021-11-30,3x3 Cube,1,2
2021-11-30,3x3 Cube,1,2
2021-12-03,3x3 Cube,1,0
2021-12-03,3x3 Cube,0,50
2021-12-03,3x3 Cube,0,55
2021-12-03,3x3 Cube,0,47
2021-12-03,3x3 Cube,1,17
2021-12-03,3x3 Cube,0,56
2021-12-08,Pyraminx,0,37
2021-12-08,Pyraminx,0,28
2021-12-08,Pyraminx,0,27
2021-12-08,Pyraminx,0,43
2021-12-08,Pyraminx,0,44
2021-12-08,Pyraminx,0,47
2021-12-08,Pyraminx,0,34
2021-12-08,Pyraminx,0,23
2021-12-08,Pyraminx,0,37
2021-12-08,Pyraminx,0,28
2021-12-08,Pyraminx,0,39
2021-12-08,Pyraminx,0,42
2021-12-08,Pyraminx,0,30
2021-12-08,Pyraminx,0,32
2021-12-08,Pyraminx,0,32
2021-12-08,Pyraminx,0,29
2021-12-08,Pyraminx,0,29
2021-12-09,Pyraminx,0,36
2021-12-09,Pyraminx,0,29
2021-12-09,Pyraminx,0,20
2021-12-09,Pyraminx,0,21
2021-12-09,Pyraminx,0,36
2021-12-09,Pyraminx,0,37
2021-12-09,Pyraminx,0,16
2021-12-10,Pyraminx,0,24
2021-12-10,Pyraminx,0,21
2021-12-10,Pyraminx,0,22
2021-12-10,Pyraminx,0,29
2021-12-10,Pyraminx,0,32
2021-12-10,Pyraminx,0,24
2021-12-10,Pyraminx,0,33
2021-12-10,Pyraminx,0,22
2021-12-10,Pyraminx,0,29
2021-12-10,Pyraminx,0,19
2021-12-10,Pyraminx,0,17
2021-12-10,Pyraminx,0,29
2021-12-10,Pyraminx,0,18
2021-12-10,Pyraminx,0,33
